table_name,column_name,data_type
staging_medical_records,staging_record_id,uuid
staging_medical_records,medid,bigint
staging_medical_records,labreference,text
staging_medical_records,sample_id,bigint
staging_medical_records,collected,date
staging_medical_records,time,time without time zone
staging_medical_records,reported_time,time without time zone
staging_medical_records,urine_colour,text
staging_medical_records,appearance,text
staging_medical_records,specific_gravity,double precision
staging_medical_records,ph,double precision
staging_medical_records,proteins,text
staging_medical_records,glucose,text
staging_medical_records,bilirubin,text
staging_medical_records,ketones,text
staging_medical_records,blood,text
staging_medical_records,urobilinogen,text
staging_medical_records,nitrites,text
staging_medical_records,wbc_pus_cells_hpf,text
staging_medical_records,rbc,bigint
staging_medical_records,epithelial_cells_hpf,numeric
staging_medical_records,casts,text
staging_medical_records,crystals,text
staging_medical_records,others,text
staging_medical_records,hemoglobin_g_dl,double precision
staging_medical_records,rbc_count_mil_ul,double precision
staging_medical_records,hematocrit_pct,double precision
staging_medical_records,mcv_fl,double precision
staging_medical_records,mch_pg,bigint
staging_medical_records,mchc_g_dl,double precision
staging_medical_records,rdw_cv_pct,double precision
staging_medical_records,rdw_sd_fl,double precision
staging_medical_records,wbc_cells_ul,bigint
staging_medical_records,neutrophils_pct,bigint
staging_medical_records,lymphocytes_pct,bigint
staging_medical_records,eosinophils_pct,bigint
staging_medical_records,monocytes_pct,bigint
staging_medical_records,basophils_pct,double precision
staging_medical_records,abs_neutrophils,double precision
staging_medical_records,abs_lymphocytes,double precision
staging_medical_records,abs_monocytes,double precision
staging_medical_records,abs_eosinophils,double precision
staging_medical_records,abs_basophils,double precision
staging_medical_records,platelet_count_x10_3_ul,bigint
staging_medical_records,mpv_fl,double precision
staging_medical_records,platelet_rdw_pct,bigint
staging_medical_records,pct_pct,double precision
staging_medical_records,p_lcr_pct,double precision
staging_medical_records,img_pct,double precision
staging_medical_records,imm_pct,double precision
staging_medical_records,iml_pct,double precision
staging_medical_records,lic_pct,double precision
staging_medical_records,total_cholesterol_mg_dl,bigint
staging_medical_records,hdl_mg_dl,bigint
staging_medical_records,ldl_mg_dl,double precision
staging_medical_records,vldl_mg_dl,numeric
staging_medical_records,triglycerides_mg_dl,numeric
staging_medical_records,non_hdl_mg_dl,bigint
staging_medical_records,total_hdl_ratio,double precision
staging_medical_records,ldl_hdl_ratio,double precision
staging_medical_records,hdl_ldl_ratio,double precision
staging_medical_records,bilirubin_total_mg_dl,double precision
staging_medical_records,bilirubin_direct_mg_dl,double precision
staging_medical_records,bilirubin_indirect_mg_dl,double precision
staging_medical_records,alp_u_l,bigint
staging_medical_records,alt_sgpt_u_l,bigint
staging_medical_records,ast_sgot_u_l,bigint
staging_medical_records,ggt_u_l,bigint
staging_medical_records,protein_total_g_dl,double precision
staging_medical_records,albumin_g_dl,double precision
staging_medical_records,globulin_g_dl,double precision
staging_medical_records,a_g_ratio,numeric
staging_medical_records,creatinine_mg_dl,double precision
staging_medical_records,urea_mg_dl,double precision
staging_medical_records,bun_mg_dl,double precision
staging_medical_records,bun_creatinine_ratio,double precision
staging_medical_records,sodium_mmol_l,bigint
staging_medical_records,potassium_mmol_l,double precision
staging_medical_records,chloride_mmol_l,bigint
staging_medical_records,uric_acid_mg_dl,double precision
staging_medical_records,egfr_ml_min_173m2,double precision
staging_medical_records,iron_ug_dl,bigint
staging_medical_records,uibc_ug_dl,bigint
staging_medical_records,tibc_ug_dl,bigint
staging_medical_records,transferrin_saturation_pct,double precision
staging_medical_records,hba1c_pct,double precision
staging_medical_records,estimated_avg_glucose_mg_dl,double precision
staging_medical_records,hbf_pct,double precision
staging_medical_records,urine_albumin_mg_l,double precision
staging_medical_records,urine_creatinine_mg_dl,double precision
staging_medical_records,albumin_creatinine_ratio,double precision
staging_medical_records,calcium_mg_dl,double precision
staging_medical_records,phosphorus_mg_dl,double precision
staging_medical_records,tt3_ng_dl,bigint
staging_medical_records,tt4_ug_dl,double precision
staging_medical_records,tsh_uiu_ml,double precision
staging_medical_records,fasting_glucose_mg_dl,bigint
staging_medical_records,postprandial_glucose_mg_dl,bigint
staging_medical_records,fbs_mg_dl,bigint
staging_medical_records,plbs_mg_dl,bigint