column_name,data_type
staging_record_id,uuid
medid,bigint
labreference,text
sample_id,bigint
collected,date
time,time without time zone
reported_time,time without time zone
urine_colour,text
appearance,text
specific_gravity,double precision
ph,double precision
proteins,text
glucose,text
bilirubin,text
ketones,text
blood,text
urobilinogen,text
nitrites,text
wbc_pus_cells_hpf,text
rbc,text
epithelial_cells_hpf,text
casts,text
crystals,text
others,text
hemoglobin_g_dl,double precision
rbc_count_mil_ul,double precision
hematocrit_pct,double precision
mcv_fl,double precision
mch_pg,bigint
mchc_g_dl,double precision
rdw_cv_pct,double precision
rdw_sd_fl,double precision
wbc_cells_ul,bigint
neutrophils_pct,bigint
lymphocytes_pct,bigint
eosinophils_pct,bigint
monocytes_pct,bigint
basophils_pct,double precision
abs_neutrophils,double precision
abs_lymphocytes,double precision
abs_monocytes,double precision
abs_eosinophils,double precision
abs_basophils,double precision
platelet_count_x10_3_ul,bigint
mpv_fl,double precision
platelet_rdw_pct,bigint
pct_pct,double precision
p_lcr_pct,double precision
img_pct,double precision
imm_pct,double precision
iml_pct,double precision
lic_pct,double precision
total_cholesterol_mg_dl,bigint
hdl_mg_dl,bigint
ldl_mg_dl,double precision
vldl_mg_dl,numeric
triglycerides_mg_dl,numeric
non_hdl_mg_dl,bigint
total_hdl_ratio,double precision
ldl_hdl_ratio,double precision
hdl_ldl_ratio,double precision
bilirubin_total_mg_dl,double precision
bilirubin_direct_mg_dl,double precision
bilirubin_indirect_mg_dl,double precision
alp_u_l,bigint
alt_sgpt_u_l,bigint
ast_sgot_u_l,bigint
ggt_u_l,bigint
protein_total_g_dl,double precision
albumin_g_dl,double precision
globulin_g_dl,double precision
a_g_ratio,numeric
creatinine_mg_dl,double precision
urea_mg_dl,double precision
bun_mg_dl,double precision
bun_creatinine_ratio,double precision
sodium_mmol_l,bigint
potassium_mmol_l,double precision
chloride_mmol_l,bigint
uric_acid_mg_dl,double precision
egfr_ml_min_173m2,double precision
iron_ug_dl,bigint
uibc_ug_dl,bigint
tibc_ug_dl,bigint
transferrin_saturation_pct,double precision
hba1c_pct,double precision
estimated_avg_glucose_mg_dl,double precision
hbf_pct,double precision
urine_albumin_mg_l,double precision
urine_creatinine_mg_dl,double precision
albumin_creatinine_ratio,double precision
calcium_mg_dl,double precision
phosphorus_mg_dl,double precision
tt3_ng_dl,bigint
tt4_ug_dl,double precision
tsh_uiu_ml,double precision
fasting_glucose_mg_dl,bigint
postprandial_glucose_mg_dl,bigint
fbs_mg_dl,bigint
plbs_mg_dl,bigint